title,year,director,tmdb_id,poster_path,matched_title,matched_year,original_language,reason
Enthiran (Hindi),2010,S. Shankar,,,,,,NO_RESULTS
Housefull,2010,Sajid Khan,58051,/koPiIQ7evC5rer6modUDxoZjYV.jpg,Housefull,2010,hi,
Once Upon a Time in Mumbaai,2010,Milan Luthria,42966,/qkPmQx9GMuwTDEuIUMoeN6DEqVA.jpg,Once Upon a Time in Mumbaai,2010,hi,
Dabangg,2010,Abhinav Kashyap,44425,/bi2J6IrRK7oFK63EMbzORIos8KP.jpg,Dabangg,2010,hi,
Golmaal 3,2010,Rohit Shetty,44978,/S2BE87q5g8HWDVfoEU8QN9UXfn.jpg,Golmaal 3,2010,hi,
My Name Is Khan,2010,Karan Johar,26022,/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,My Name Is Khan,2010,hi,
Bodyguard,2011,Siddique,73582,/12VEUEHebd9ydQs0Y4ikzb179LY.jpg,Bodyguard,2011,hi,
Ra.One,2011,Anubhav Sinha,41517,/qwC3rbgCI0frJpRxVm74Ak3ktpU.jpg,Ra.One,2011,hi,
Don 2,2011,Farhan Akhtar,41109,/2gBM8c36HIwn4vc2UuMeliqiCKY.jpg,Don 2,2011,hi,
Singham,2011,Rohit Shetty,70590,/pggLRaurdWwjqX2vkhKIVQSBjXV.jpg,Singham,2011,hi,
Zindagi Na Milegi Dobara,2011,Zoya Akhtar,61202,/hKO9O715wYxjkQSEv47giCYcyO8.jpg,Zindagi Na Milegi Dobara,2011,hi,
Ready,2011,Anees Bazmee,65946,/umfKMUkXXPfMUoOq60nXjDbQOCL.jpg,Ready,2011,hi,
Ek Tha Tiger,2012,Kabir Khan,85985,/9qmIOiKLdlIRmdvPV6UmbUx9WFn.jpg,Ek Tha Tiger,2012,hi,
Agneepath,2012,Karan Malhotra,84858,/xO9sErs0c3XMzh8O34ygQWcENTj.jpg,Agneepath,2012,hi,
Dabangg 2,2012,Arbaaz Khan,147405,/11lo9arlgCOcgVPVQ025v071YpM.jpg,Dabangg 2,2012,hi,
Barfi!,2012,Anurag Basu,127501,/5cJIx2zKjDoUtPSliou23xsReb1.jpg,Barfi!,2012,hi,
Rowdy Rathore,2012,Prabhu Deva,102632,/ytdp64MDSpONpm932nQcMTD95IF.jpg,Rowdy Rathore,2012,hi,
Chennai Express,2013,Rohit Shetty,205022,/9j7XfhBJKNfidMCa8JsNbqU1waV.jpg,Chennai Express,2013,hi,
Dhoom 3,2013,Vijay Krishna Acharya,44977,/rUVTM5EQUQ2I0fcfE46AkvBYWae.jpg,Dhoom 3,2013,hi,
Yeh Jawaani Hai Deewani,2013,Ayan Mukerji,185008,/em39H81XLCDgXsI7V4IcBZseEO6.jpg,Yeh Jawaani Hai Deewani,2013,hi,
Krrish 3,2013,Rakesh Roshan,204435,/lJOPh0j0L1IA5mJvHf2RNRdzFlO.jpg,Krrish 3,2013,hi,
Grand Masti,2013,Indra Kumar,220714,/9DtPtMWZqotqvBlMwHlTxXc6xPz.jpg,Grand Masti,2013,hi,
Bhaag Milkha Bhaag,2013,Rakeysh Omprakash Mehra,206324,/bXywc0CEzS1fIshPWWi4V8A58U3.jpg,Bhaag Milkha Bhaag,2013,hi,
Race 2,2013,Abbas-Mustan,44749,/tUe3rzMvVsbi63z3EKA8egjFBv8.jpg,Race 2,2013,hi,
Ram-Leela,2013,Sanjay Leela Bhansali,235984,/6Pph0xbOJvNPhWh1fdeWGHppSPH.jpg,Goliyon Ki Raasleela Ram-Leela,2013,hi,
Jolly LLB,2013,Subhash Kapoor,177358,/zmh8eBq0MdwqHl7NMyVOnAhNu7I.jpg,Jolly LLB,2013,hi,
PK,2014,Rajkumar Hirani,297222,/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,PK,2014,hi,
Happy New Year,2014,Farah Khan,277432,/5kv0trpR00030JmZbLnLMBKIrtD.jpg,Happy New Year,2014,hi,
Bang Bang!,2014,Siddharth Anand,283589,/6ukTOJ3VNqrR0un8nolKoIlgn1V.jpg,Bang Bang!,2014,hi,
Kick,2014,Sajid Nadiadwala,280690,/muRGQIGFcHTyHimE2ru6RSjD8D6.jpg,Kick,2014,hi,
2 States,2014,Abhishek Verman,259720,/lOQqeKxZg12ZSn0qfHAOXOtbVFR.jpg,2 States,2014,hi,
Queen,2014,Vikas Bahl,247645,/vKLp0X2RQOuA31R3AdaYtDdKIPK.jpg,Queen,2014,hi,
